"37.99,-81.87"
"38.82,-76.99"
"38.82,-77.00"
"38.82,-77.01"
"38.83,-76.97"
"38.83,-76.98"
"38.83,-76.99"
"38.83,-77.00"
"38.83,-77.01"
"38.84,-76.96"
"38.84,-76.97"
"38.84,-76.98"
"38.84,-76.99"
"38.84,-77.00"
"38.84,-77.01"
"38.84,-77.02"
"38.85,-76.95"
"38.85,-76.96"
"38.85,-76.97"
"38.85,-76.98"
"38.85,-76.99"
"38.85,-77.00"
"38.85,-77.01"
"38.85,-77.02"
"38.85,-77.03"
"38.86,-76.93"
"38.86,-76.94"
"38.86,-76.95"
"38.86,-76.96"
"38.86,-76.97"
"38.86,-76.98"
"38.86,-76.99"
"38.86,-77.00"
"38.86,-77.01"
"38.86,-77.02"
"38.86,-77.03"
"38.86,-77.04"
"38.87,-76.92"
"38.87,-76.93"
"38.87,-76.94"
"38.87,-76.95"
"38.87,-76.96"
"38.87,-76.97"
"38.87,-76.98"
"38.87,-76.99"
"38.87,-77.00"
"38.87,-77.01"
"38.87,-77.02"
"38.87,-77.03"
"38.87,-77.04"
"38.87,-77.05"
"38.88,-76.91"
"38.88,-76.92"
"38.88,-76.93"
"38.88,-76.94"
"38.88,-76.95"
"38.88,-76.96"
"38.88,-76.97"
"38.88,-76.98"
"38.88,-76.99"
"38.88,-77.00"
"38.88,-77.01"
"38.88,-77.02"
"38.88,-77.03"
"38.88,-77.04"
"38.88,-77.05"
"38.88,-77.06"
"38.89,-76.91"
"38.89,-76.92"
"38.89,-76.93"
"38.89,-76.94"
"38.89,-76.95"
"38.89,-76.96"
"38.89,-76.97"
"38.89,-76.98"
"38.89,-76.99"
"38.89,-77.00"
"38.89,-77.01"
"38.89,-77.02"
"38.89,-77.03"
"38.89,-77.04"
"38.89,-77.05"
"38.89,-77.06"
"38.89,-77.07"
"38.90,-76.92"
"38.90,-76.93"
"38.90,-76.94"
"38.90,-76.95"
"38.90,-76.96"
"38.90,-76.97"
"38.90,-76.98"
"38.90,-76.99"
"38.90,-77.00"
"38.90,-77.01"
"38.90,-77.02"
"38.90,-77.03"
"38.90,-77.04"
"38.90,-77.05"
"38.90,-77.06"
"38.90,-77.07"
"38.90,-77.08"
"38.90,-77.09"
"38.91,-76.93"
"38.91,-76.94"
"38.91,-76.95"
"38.91,-76.96"
"38.91,-76.97"
"38.91,-76.98"
"38.91,-76.99"
"38.91,-77.00"
"38.91,-77.01"
"38.91,-77.02"
"38.91,-77.03"
"38.91,-77.04"
"38.91,-77.05"
"38.91,-77.06"
"38.91,-77.07"
"38.91,-77.08"
"38.91,-77.09"
"38.91,-77.10"
"38.92,-76.95"
"38.92,-76.96"
"38.92,-76.97"
"38.92,-76.98"
"38.92,-76.99"
"38.92,-77.00"
"38.92,-77.01"
"38.92,-77.02"
"38.92,-77.03"
"38.92,-77.04"
"38.92,-77.05"
"38.92,-77.06"
"38.92,-77.07"
"38.92,-77.08"
"38.92,-77.09"
"38.92,-77.10"
"38.92,-77.11"
"38.93,-76.96"
"38.93,-76.97"
"38.93,-76.98"
"38.93,-76.99"
"38.93,-77.00"
"38.93,-77.01"
"38.93,-77.02"
"38.93,-77.03"
"38.93,-77.04"
"38.93,-77.05"
"38.93,-77.06"
"38.93,-77.07"
"38.93,-77.08"
"38.93,-77.09"
"38.93,-77.10"
"38.93,-77.11"
"38.93,-77.12"
"38.94,-76.97"
"38.94,-76.98"
"38.94,-76.99"
"38.94,-77.00"
"38.94,-77.01"
"38.94,-77.02"
"38.94,-77.03"
"38.94,-77.04"
"38.94,-77.05"
"38.94,-77.06"
"38.94,-77.07"
"38.94,-77.08"
"38.94,-77.09"
"38.94,-77.10"
"38.94,-77.11"
"38.95,-76.99"
"38.95,-77.00"
"38.95,-77.01"
"38.95,-77.02"
"38.95,-77.03"
"38.95,-77.04"
"38.95,-77.05"
"38.95,-77.06"
"38.95,-77.07"
"38.95,-77.08"
"38.95,-77.09"
"38.95,-77.10"
"38.96,-77.00"
"38.96,-77.01"
"38.96,-77.02"
"38.96,-77.03"
"38.96,-77.04"
"38.96,-77.05"
"38.96,-77.06"
"38.96,-77.07"
"38.96,-77.08"
"38.96,-77.09"
"38.97,-77.01"
"38.97,-77.02"
"38.97,-77.03"
"38.97,-77.04"
"38.97,-77.05"
"38.97,-77.06"
"38.97,-77.07"
"38.97,-77.08"
"38.98,-77.02"
"38.98,-77.03"
"38.98,-77.04"
"38.98,-77.05"
"38.98,-77.06"
"38.98,-77.07"
"38.99,-77.03"
"38.99,-77.04"
"38.99,-77.05"
"38.99,-77.06"
"39.00,-77.04"
"39.00,-77.05"
